"ids","department","bases","experience","raises","salary"
1,"sociology",38027.4188648909,5,2101.30621669814,48533.9499483816
2,"biology",51296.3124341331,0,529.296577093191,51296.3124341331
3,"english",57196.8433801085,2,495.417757588439,58187.6788952854
4,"informatics",70454.2426019907,2,1652.67950227018,73759.6016065311
5,"statistics",79492.2368079424,8,486.074237036519,83380.8307042345
6,"sociology",40595.1751582325,2,1824.46741349995,44244.1099852324
7,"biology",51684.454982169,7,495.788177871145,55154.972227267
8,"english",56545.3641051427,9,498.711736360565,61033.7697323877
9,"informatics",76658.8535872288,9,1706.08587558847,92013.626467525
10,"statistics",84950.1243643463,0,453.69176401291,84950.1243643463
11,"sociology",38202.6740517467,7,1816.86324989423,50920.7168010063
12,"biology",48991.2369148806,2,540.133110946044,50071.5031367727
13,"english",57483.60533081,1,544.012062693946,58027.6173935039
14,"informatics",69901.905272156,9,1743.64754990209,85594.7332212748
15,"statistics",84108.4022186697,4,528.124732198194,86220.9011474624
16,"sociology",40085.5797510594,4,2099.6817862615,48484.3068961054
17,"biology",49381.4895162359,9,463.599147112109,53553.8818402449
18,"english",63490.9690562636,5,467.623372212984,65829.0859173285
19,"informatics",75758.4123522975,9,1544.27739647217,89656.908920547
20,"statistics",73137.1863037348,7,516.438396344893,76752.255078149
21,"sociology",37141.138503328,7,2066.21709195897,51604.6581470408
22,"biology",48930.7278255001,9,514.665076159872,53562.7135109389
23,"english",64277.2526554763,5,527.173253032379,66913.1189206382
24,"informatics",66699.5591656305,4,1628.55739725288,73213.788754642
25,"statistics",73514.2137371004,6,530.654118955135,76698.1384508312
26,"sociology",41794.6693021804,8,2019.0268070437,57946.88375853
27,"biology",54804.7666391358,4,511.994213308208,56852.7434923686
28,"english",56407.2035327554,8,497.240639827214,60385.1286513731
29,"informatics",70731.6937255673,5,1684.5673521515,79154.5304863248
30,"statistics",77527.4315364659,5,546.947254915722,80262.1678110445
31,"sociology",39267.1200595796,5,2065.63610835001,49595.3006013297
32,"biology",46880.3121638484,2,534.199405484833,47948.7109748181
33,"english",58146.6319067404,8,471.251949644648,61916.6475038976
34,"informatics",65571.1843171157,6,1592.3027904192,75125.0010596309
35,"statistics",85009.8327286541,4,477.285625459626,86918.9752304927
36,"sociology",43053.0832726508,9,2032.31722256169,61343.938275706
37,"biology",52006.1461883597,4,545.682835625485,54188.8775308617
38,"english",57317.1283230186,6,475.17234783154,60168.1624100078
39,"informatics",69048.062490765,3,1610.58395913802,73879.8143681791
40,"statistics",72205.054756254,0,477.242049016059,72205.054756254
41,"sociology",40504.3062139303,9,1978.80141073838,58313.5189105757
42,"biology",51707.0026672445,2,486.25945453532,52679.5215763152
43,"english",57763.2278893143,5,465.871210768819,60092.5839431584
44,"informatics",76265.6113598496,1,1740.64777102321,78006.2591308728
45,"statistics",74700.8485682309,9,546.951825451106,79623.4149972908
46,"sociology",39523.3128834516,0,1821.27758273855,39523.3128834516
47,"biology",50716.267565731,9,486.791204940528,55097.3884101957
48,"english",65695.8476062864,8,521.582188596949,69868.505115062
49,"informatics",73706.7949487828,7,1813.82877185941,86403.5963517986
50,"statistics",79088.8815559447,5,477.029199455865,81474.027553224
51,"sociology",38846.8996565789,3,2135.35261657089,45252.9575062916
52,"biology",45364.5698865876,7,459.621081803925,48581.917459215
53,"english",61126.5647225082,8,467.328668921255,64865.1940738782
54,"informatics",76461.7458549328,8,1658.62012210302,89730.706831757
55,"statistics",76043.6870418489,8,513.652501138858,80152.9070509598
56,"sociology",42777.6500228793,4,2042.84093575552,50949.0137659013
57,"biology",47127.8142090887,1,477.611605077982,47605.4258141667
58,"english",57334.690136835,1,549.89238823764,57884.5825250726
59,"informatics",69711.3912152126,8,1532.92528094724,81974.7934627905
60,"statistics",84479.9967631698,7,538.033101777546,88246.2284756126
61,"sociology",43207.5228858739,5,2143.79494339228,53926.4976028353
62,"biology",54434.6065330319,0,461.058170907199,54434.6065330319
63,"english",58982.5821071863,8,524.801142862998,63180.9912500903
64,"informatics",67677.5433598086,9,1570.42730986141,81811.3891485613
65,"statistics",76523.707665503,2,466.736617614515,77457.1809007321
66,"sociology",36577.7727346867,6,1801.94465490058,47389.4406640902
67,"biology",45706.824765075,0,452.412060904317,45706.824765075
68,"english",55907.402026467,5,505.488753179088,58434.8457923625
69,"informatics",65112.0842257515,8,1624.97895755805,78111.9158862159
70,"statistics",84033.4761217237,9,541.992786643095,88911.4112015115
