"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,1,0,0,0,0,0,1,1
"2",0,1,0,0,0,1,0,0,0,1
"3",0,0,1,0,1,0,1,0,0,0
"4",0,0,1,0,1,0,0,0,1,0
"5",1,1,0,0,0,1,0,0,0,0
"6",1,0,0,0,1,0,0,0,1,0
"7",1,1,0,0,0,0,0,0,0,1
"8",0,0,1,0,0,1,0,0,0,1
"9",0,0,0,1,0,1,0,0,1,0
"10",0,1,0,1,0,0,0,1,0,0
"11",0,0,0,1,0,0,0,0,1,1
"12",0,1,1,0,1,0,0,0,0,0
"13",1,0,0,0,0,0,0,1,1,0
"14",1,0,0,0,1,1,0,0,0,0
"15",0,0,1,0,1,0,1,0,0,0
"16",0,0,0,0,0,0,1,1,0,1
"17",0,0,0,0,0,1,0,1,1,0
"18",0,0,1,1,0,0,0,0,1,0
"19",0,1,1,0,1,0,0,0,0,0
"20",0,0,0,0,1,0,1,1,0,0
"21",1,0,0,1,1,0,0,0,0,0
"22",0,0,1,0,0,0,1,0,0,1
"23",0,1,1,0,0,0,0,1,0,0
"24",1,1,0,0,0,0,1,0,0,0
"25",1,0,0,0,0,0,1,0,1,0
"26",0,0,0,1,0,0,0,0,1,1
"27",1,0,0,0,0,0,0,1,1,0
"28",0,0,0,0,1,0,0,1,1,0
"29",0,0,0,1,0,1,0,0,1,0
"30",0,0,1,1,0,0,0,1,0,0
"31",0,1,0,0,0,0,0,0,1,1
"32",0,0,0,1,0,1,1,0,0,0
"33",1,0,0,0,1,0,0,0,0,1
"34",0,1,0,0,0,1,0,1,0,0
"35",0,1,0,1,0,0,0,0,0,1
"36",1,0,0,1,0,0,0,1,0,0
"37",0,0,0,1,0,0,1,0,1,0
"38",1,0,0,0,0,0,1,0,0,1
"39",0,1,0,0,1,1,0,0,0,0
"40",1,0,0,0,0,1,0,0,0,1
"41",1,0,1,0,1,0,0,0,0,0
"42",0,1,0,0,0,0,0,1,0,1
"43",1,0,0,1,0,1,0,0,0,0
"44",0,1,1,0,0,0,0,0,0,1
"45",0,0,0,1,0,0,0,0,1,1
"46",0,1,0,1,0,0,1,0,0,0
"47",0,0,0,0,0,1,0,1,1,0
"48",1,0,0,0,1,0,0,0,0,1
"49",1,0,0,1,0,0,0,0,0,1
"50",1,0,0,0,0,1,0,0,0,1
"51",0,1,0,0,0,1,1,0,0,0
"52",0,0,1,0,0,0,0,1,0,1
"53",0,1,1,0,1,0,0,0,0,0
"54",0,0,1,0,1,0,0,0,1,0
"55",1,1,0,0,0,1,0,0,0,0
"56",1,0,0,0,0,1,0,1,0,0
"57",0,1,1,0,0,1,0,0,0,0
"58",0,0,0,0,1,0,1,1,0,0
"59",0,0,1,0,0,1,0,0,1,0
"60",1,1,0,0,0,0,0,0,0,1
"61",0,0,1,1,0,0,1,0,0,0
"62",1,0,1,0,0,0,0,0,1,0
"63",1,1,1,0,0,0,0,0,0,0
"64",0,0,0,1,1,0,1,0,0,0
"65",0,1,1,0,0,0,0,0,1,0
"66",0,1,1,0,0,0,0,1,0,0
"67",1,0,1,0,0,0,0,0,1,0
"68",0,0,0,0,0,0,1,1,1,0
"69",0,1,0,0,1,1,0,0,0,0
"70",1,1,0,0,0,1,0,0,0,0
"71",0,1,0,0,0,1,0,0,1,0
"72",1,0,1,0,0,0,0,1,0,0
"73",1,1,0,0,1,0,0,0,0,0
"74",0,0,1,0,0,1,1,0,0,0
"75",0,0,0,1,1,1,0,0,0,0
"76",0,0,0,0,1,0,0,1,1,0
"77",0,1,0,0,1,0,0,0,1,0
"78",0,0,0,0,0,1,1,0,0,1
"79",0,0,0,0,1,0,0,1,1,0
"80",0,0,0,1,1,0,0,0,1,0
"81",0,0,0,0,1,1,0,0,1,0
"82",0,0,0,0,1,0,1,0,1,0
"83",0,0,1,0,0,0,1,1,0,0
"84",0,0,1,0,0,1,0,0,0,1
"85",0,0,0,1,1,0,0,0,0,1
"86",0,1,0,0,0,1,1,0,0,0
"87",0,0,0,0,1,0,0,1,0,1
"88",1,1,0,0,0,0,1,0,0,0
"89",0,0,1,0,0,1,0,1,0,0
"90",1,0,1,0,0,0,0,0,0,1
"91",0,0,0,1,1,0,1,0,0,0
"92",0,0,0,1,0,0,1,1,0,0
"93",1,0,0,0,0,0,1,1,0,0
"94",0,0,0,1,0,0,0,1,0,1
"95",0,0,0,1,0,0,0,1,0,1
"96",0,0,0,1,0,0,1,1,0,0
"97",0,0,0,1,0,0,1,0,0,1
"98",0,0,0,1,0,0,1,1,0,0
"99",0,0,0,1,0,0,1,0,0,1
"100",0,0,0,1,0,1,1,0,0,0
