"","applicant","rater","rating"
"1",1,3,4.87793611766008
"2",1,9,4.07166678197887
"3",1,10,3.32530252792853
"4",2,2,4.72235827492867
"5",2,6,4.4592717925638
"6",2,10,4.96662045429374
"7",3,3,9.01409061605891
"8",3,5,6.62694900511017
"9",3,7,4.67413145098702
"10",4,3,10
"11",4,5,4.30615089746414
"12",4,9,9.49807354243337
"13",5,1,8.69829194996814
"14",5,2,8.46441600950988
"15",5,6,8.32537745689841
"16",6,1,1
"17",6,5,1
"18",6,9,4.06459221795721
"19",7,1,6.12615668152296
"20",7,2,6.78264409656525
"21",7,10,8.34693553060022
"22",8,3,5.74459496940484
"23",8,6,4.31048532546026
"24",8,10,5.34105528266408
"25",9,4,6.006205305207
"26",9,6,10
"27",9,9,9.68898239960761
"28",10,2,3.49003231085947
"29",10,4,3.31715322292851
"30",10,8,8.05518031967211
"31",11,4,2.66883937321528
"32",11,9,6.27555543282983
"33",11,10,4.99160529817483
"34",12,2,4.94704809185181
"35",12,3,9.05350033557712
"36",12,5,3.01196037415358
"37",13,1,3.08992445176253
"38",13,8,6.7414401358787
"39",13,9,5.62216419176367
"40",14,1,1
"41",14,5,1
"42",14,6,3.14974047187166
"43",15,3,3.37113546767572
"44",15,5,1
"45",15,7,1
"46",16,7,6.90122659646177
"47",16,8,10
"48",16,10,10
"49",17,6,3.65494551723071
"50",17,8,9.78706426925657
"51",17,9,5.04195732489194
"52",18,3,6.31345738626964
"53",18,4,1
"54",18,9,5.10005777853218
"55",19,2,7.01808082467035
"56",19,3,10
"57",19,5,4.92581908829584
"58",20,5,2.8954942172754
"59",20,7,2.75613983722237
"60",20,8,10
"61",21,1,1.16012662287592
"62",21,4,1
"63",21,5,1
"64",22,3,5.08872763120722
"65",22,7,2.63192734085246
"66",22,10,6.15171381481099
"67",23,2,3.82798137929651
"68",23,3,7.77931555322438
"69",23,8,9.57475417503823
"70",24,1,1
"71",24,2,1
"72",24,7,1
"73",25,1,1
"74",25,7,1
"75",25,9,3.94986919758708
"76",26,4,1
"77",26,9,4.45513240653923
"78",26,10,4.9835544550748
"79",27,1,3.16657888641517
"80",27,8,8.65420266246182
"81",27,9,7.7078428116569
"82",28,5,4.41235464602745
"83",28,8,10
"84",28,9,8.301644053887
"85",29,4,5.66388903044112
"86",29,6,6.90165384894134
"87",29,9,7.89674964040182
"88",30,3,3.566950820765
"89",30,4,1
"90",30,8,6.50628849642675
"91",31,2,4.62761717251195
"92",31,9,5.0500370484816
"93",31,10,8.2193038991269
"94",32,4,8.003880576121
"95",32,6,8.76337148153745
"96",32,7,5.79348634471272
"97",33,1,5.2257542757541
"98",33,5,2.93881060706956
"99",33,10,8.79511365550619
"100",34,2,2.25269074824022
"101",34,6,1
"102",34,8,6.3193281641333
"103",35,2,5.69267777988997
"104",35,4,2.76622432190417
"105",35,10,7.26466824937303
"106",36,1,6.28538618619121
"107",36,4,4.39573078310144
"108",36,8,8.16379636556654
"109",37,4,2.64593501669881
"110",37,7,1
"111",37,9,5.04818914293889
"112",38,1,6.34642209782848
"113",38,7,2.82904254410649
"114",38,10,8.13260528347591
"115",39,2,5.99271871164998
"116",39,5,3.87525309174202
"117",39,6,6.77516312448029
"118",40,1,4.48383666824708
"119",40,6,5.42906526043169
"120",40,10,6.76750362178127
"121",41,1,7.42235121648935
"122",41,3,10
"123",41,5,6.26921066277352
"124",42,2,7.71781161628205
"125",42,8,10
"126",42,10,9.97525107316815
"127",43,1,2.60240472522403
"128",43,4,1.39601722946464
"129",43,6,3.8475418237801
"130",44,2,8.58559106293625
"131",44,3,9.86018337506873
"132",44,10,10
"133",45,4,1.1614822257189
"134",45,9,4.60819810673986
"135",45,10,3.82889116254149
"136",46,2,6.20586692270111
"137",46,4,5.30535091847498
"138",46,7,4.12115753643282
"139",47,6,10
"140",47,8,10
"141",47,9,10
"142",48,1,3.30504183801564
"143",48,5,2.0484936033935
"144",48,10,5.5445362817801
"145",49,1,3.22740007227075
"146",49,4,1.7007879217877
"147",49,10,5.58994515431283
"148",50,1,3.75055407433544
"149",50,6,4.33754445608478
"150",50,10,4.56929073958955
"151",51,2,5.50192040567605
"152",51,6,7.72756666379778
"153",51,7,1.89094541530543
"154",52,3,9.86016094781017
"155",52,8,9.29060860020604
"156",52,10,7.84092582696049
"157",53,2,7.03927025734111
"158",53,3,10
"159",53,5,6.16939902127322
"160",54,3,8.82158802481299
"161",54,5,5.20561949204898
"162",54,9,8.43268882548649
"163",55,1,9.86439981293358
"164",55,2,7.53394278893616
"165",55,6,9.34255191446171
"166",56,1,4.00918168035897
"167",56,6,4.49285101433291
"168",56,8,10
"169",57,2,1.42190021352177
"170",57,3,3.6039755656257
"171",57,6,3.31651996616026
"172",58,5,1
"173",58,7,1
"174",58,8,7.75780625481872
"175",59,3,10
"176",59,6,8.81597335731208
"177",59,9,10
"178",60,1,4.27881920799465
"179",60,2,4.82549151132477
"180",60,10,7.53053718230261
"181",61,3,10
"182",61,4,10
"183",61,7,7.55491635980892
"184",62,1,7.90504403834094
"185",62,3,7.94913092965684
"186",62,9,9.26558835123399
"187",63,1,8.99677439145653
"188",63,2,8.60054680178633
"189",63,3,10
"190",64,4,1
"191",64,5,1
"192",64,7,1.34426837665823
"193",65,2,1.93200452216785
"194",65,3,6.22858054200477
"195",65,9,5.24428067486881
"196",66,2,7.93231753382626
"197",66,3,10
"198",66,8,10
"199",67,1,3.39565905471423
"200",67,3,4.90974705561804
"201",67,9,4.00918368975451
"202",68,7,6.55607837030527
"203",68,8,10
"204",68,9,10
"205",69,2,5.69787806048963
"206",69,5,5.79007340560849
"207",69,6,7.2539987288879
"208",70,1,1.63076333580634
"209",70,2,2.666727616471
"210",70,6,3.01800191204244
"211",71,2,2.8495993470284
"212",71,6,3.30954344404993
"213",71,9,3.56357754356017
"214",72,1,2.40819598871695
"215",72,3,3.89973314909653
"216",72,8,7.21516450474802
"217",73,1,1
"218",73,2,1
"219",73,5,1
"220",74,3,1
"221",74,6,2.13533882665222
"222",74,7,1
"223",75,4,4.19067580348807
"224",75,5,3.20421434693904
"225",75,6,5.66352683597375
"226",76,5,4.16480586103206
"227",76,8,10
"228",76,9,8.92740364641265
"229",77,2,2.84222807994769
"230",77,5,2.40920489398737
"231",77,9,6.86606000160294
"232",78,6,6.46560872081995
"233",78,7,4.05881558575815
"234",78,10,6.94990148852044
"235",79,5,1.69612729622074
"236",79,8,10
"237",79,9,5.65229197099401
"238",80,4,5.62743968037777
"239",80,5,3.02243186632773
"240",80,9,10
"241",81,5,1
"242",81,6,5.1752606968754
"243",81,9,4.74441789337336
"244",82,5,2.28400186564862
"245",82,7,3.52258143108957
"246",82,9,4.71984134250299
"247",83,3,5.30457266160387
"248",83,7,4.40100049149721
"249",83,8,9.56245554707597
"250",84,3,8.12591294311308
"251",84,6,6.50755601788986
"252",84,10,10
"253",85,4,1.20418217806233
"254",85,5,1.21769075629926
"255",85,10,5.14810541393404
"256",86,2,3.68930791112181
"257",86,6,3.48671478257103
"258",86,7,1
"259",87,5,2.74899131866098
"260",87,8,9.1282331702558
"261",87,10,8.27836700361355
"262",88,1,1
"263",88,2,1.32686611053037
"264",88,7,1
"265",89,3,9.77808567689894
"266",89,6,8.20550707268713
"267",89,8,10
"268",90,1,3.3191240308533
"269",90,3,7.82131125059108
"270",90,10,6.58277067059131
"271",91,4,8.43059179586527
"272",91,5,7.01498741841086
"273",91,7,6.58225823282604
"274",92,4,1
"275",92,7,1
"276",92,8,9.40921313838326
"277",93,1,1
"278",93,7,1
"279",93,8,6.25349056239724
"280",94,4,3.96360146692714
"281",94,8,8.73051313383831
"282",94,10,7.3263523348373
"283",95,4,4.89028960433747
"284",95,8,10
"285",95,10,9.43799643658512
"286",96,4,1
"287",96,7,1
"288",96,8,5.24469609761108
"289",97,4,3.70085894513352
"290",97,7,2.14166948412107
"291",97,10,5.30549115624035
"292",98,4,4.41844215167169
"293",98,7,3.10626022907328
"294",98,8,10
"295",99,4,3.67057311256561
"296",99,7,1.06797207614855
"297",99,10,6.98347024754635
"298",100,4,1
